#нижні_хребти #нижні_хребти_персонажі

⸻

## ІМ’Я:
Барон Домінік Духовний #барон_духовний

	### ЛОКАЦІЯ:
	- Посилає гравця “під прикриттям” у Дім Ісідзукурі, щоб зрозуміти, чи вони справді готують терор проти культів і чи це входить в план барона "по-тихому". (див. #дім_сасакі)

	### ТАЄМНИЦЯ:
	Убив жерця Зевса, який дізнався про його стосунки з Бароном. Заховав тіло в брамі, але тінь від нього — досі ходить по ночах.

⸻

## ІМ’Я:
Абед #абед

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Храм Зевса / Кладовище / Склеп Вівальдеса (див. #храм_зевса #нижні_хребти_кладовище #склеп_віктора_вівальдеса #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Глава Культу Зевса — культ покори, страху й забуття (див. #культ_зевса)

	### РАСА:
	Людина

	### КЛАС:
	Маг школи виклику / верховний жрець

	### ОПИС:
	Старий і небезпечний, Абед очолює Культ Зевса. Майстер магії виклику, він здатен кликати тіні, смерті й голоси з-поза реальності. Володіє половиною каменя велетня, іншу половину вкрав Хесус. Абед вважає це актом богохульства і особистої зради. Має містичний зв’язок із вампіром Вівальдесом, з яким спілкується крізь сон.

	### ХАРАКТЕР:
	Холодний, ритуальний, фанатичний. Ненавидить тілесність, слабкість і задоволення. Говорить стисло, його голос — наче скрегіт могильної плити. Зевс для нього — не бог, а принцип: підкорись, або згни.

	### ДРУЗІ / СОЮЗНИКИ:
	- Віктор Вівальдес — герой-вампір у склепі. Абед вважає його потенційною зброєю (див. #віктор_вівальдес)
	- Мвчазні жерці — сліпо виконують ритуали, мовчки
	- Віккан - іноді приходить на цікаву бесіду, але Абед знає, що той хоче заволодіти його силою. (див. #віккан #банда_лас_бімбас)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Хесус — вкрав половину каменя велетня. Їхні культи перебувають у холодній війні (див. #хесус #культ_тора)
	- Барон і Крістоф — поступово обрізають вплив храмів на політику (див. #барон_духовний #крістоф)
	- Скаліозний — вигнанець, який знає походження сили Абеда (див. #жрець_зевса_скаліозний)
	- Культ рівноваги - ще не знають, що частина каменю у Абеда (див. #культ_рівноваги)
	- Ісідзукурі Сасакі — загроза його культу, бо декларує знищення всіх релігійних структур (див. #ісідзукурі_сасакі #банда_лас_бімбас)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Пропонує гравцеві знайти Хесуса і викрасти його уламок каменя — і “обʼєднати тіло боже” (див. #хесус #культ_тора)
	- Пропонує гравцю “прибрати” Ісідзукурі — або викрасти його артефактну маску для ритуалу.

	### ТАЄМНИЦЯ:
	Посередній маг, якщо прибрати силу каменю. Боїться показатись слабким. Хоче вічного життя, тому спілкується з Вівальдесом.

⸻

## ІМ’Я:
Хесус #хесус

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Храм Тора (див. #храм_тора #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Глава Культу Тора — культ тілесної радості, обожнення оргії, обіймів і блискавки в серці і очах (див. #культ_тора)

	### РАСА:
	Тіфлінг

	### КЛАС:
	Бард Колегії Причарування / пророк насолоди

	### ОПИС:
	Харизматичний тіфлінг із хвостом, у якому сховано уламок каменя велетня. Колись він був бардом у Колегії Причарування, але став пророком, коли ввібрав частину сили стихії. Заснував Культ Тора в Нижніх Хребтах і перетворив колишню таверну на храм тілесного очищення. Його ритуали — це торкання, спів, оргії і “повернення до себе через іншого”. 

	### ХАРАКТЕР:
	Провокативний, щедрий, глибоко віруючий у свободу від покори. Сприймає біль як сигнал пригнічення, а тіло — як храм і театр. Любить сміятись, коли все навколо горить. Маніпулює через приємне.

	### ДРУЗІ / СОЮЗНИКИ:
	- Віряни Культу Тора — більшість із них втекли від чогось
	- Синій Ворон - постачає алкогось і любить розслабитись (див. #нижні_хребти_синій_ворон)
	- Асука Сасакі - хоч і проти культів, але постійна учасниця оргій. (див. #асука_сасакі #банда_лас_бімбас)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Абед — хоче повернути половину каменя. Вважає Хесуса єретиком і злодієм (див. #абед #культ_зевса)
	- Барон Духовний — хоче зменшити вплив храмів, хо і йому довподоби атмосфера. (див. #барон_духовний)
	- Культ рівноваги - ще не знають, що частина каменю у Хесуса (див. #культ_рівноваги)
	- Банда Лас Бімбас — все ж проти культизму, попри захопленість Асуки (див. #банда_лас_бімбас)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Запрошує гравця на “оргію зцілення”, але вона виявляється магічним ритуалом активації уламку каменя
	- Підозрює, що його храм зраджує один із жерців — просить гравця влитися до середини і знайти “антисвітло”. Це виявиться шпигун Зевса.
	- Якщо гравець подружився з Хесусом - просить гравця повернути частину каменя і тоді Тор подарує йому справжню блискавку в очах. (див. #абед #культ_зевса)
	- Просить гравця допомогти переманити всю банду Лас Бімбас на сторону храму Тора. (див. #банда_лас_бімбас)

	### ТАЄМНИЦЯ:
	Хесус не вірить у Тора. Його “пророцтво” — це особистий бунт проти концепції релігії як вид рабства. Він створив культ як витвір мистецтва. Але тепер боїться, що сам починає вірити в Тора насправді.

⸻

### ІМ’Я:
Хлібний Дар #хлібний_дар

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Таверна “Бля, хліб!” / Млин / Контрабандний склад (див. #бля_хліб #млин_хлібного_дара #нижні_хребти_контрабандний_склад #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Синій Ворон — локальний координатор, завербований особисто одним із кураторів (див. #нижні_хребти_синій_ворон)

	### РАСА:
	дворф

	### КЛАС:
	Контрабандист / маніпулятор / хлібороб

	### ОПИС:
	Старий, жорсткий, з гумором, завжди в мазуті й з розбитим голосом. Офіційно — власник таверни, неофіційно — хребет контрабанди в Хребтах. Продає інформацію, зброю, людей. Живе на млині, де колись мешкав із дружиною… яку вбив. Про це знає лише Крістоф, і між ними діє мовчазний договір.

	### ХАРАКТЕР:
	Цинік із великим досвідом. Грубий, але харизматичний. Любить тестувати новеньких на дурість. Його улюблена фраза: “Ти не виживеш — але допоможеш вижити іншим”.

	### ДРУЗІ / СОЮЗНИКИ:
	- Крістоф — мовчазна змова, тримають один одного за яйця (див. #крістоф)
	- Барон — тримає його осторонь, але іноді доручає “справи, які не можна записати” (див. #барон_духовний)
	- Ісідзукурі - скупляється у нього. (див. #ісідзукурі_сасакі)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Культ Зевса — через антирелігійний характер контрабанди (див. #культ_зевса)
	- Віккан - замовив контрабандні речі і відмовляється платити, бо вони наче "порчені". (див. #віккан)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Якщо гравець хоче вступти в голубий ворон - просить гравця допомогти “позбутись тіла” — але не каже чийого.
	- Пропонує гравцеві піти на пастки контрабандистів за мапою сховку. (див. #пастки_контрабандистів)

	### ТАЄМНИЦЯ:
	Убив дружину випадково — але не поскаржився. Заховав її тіло в млині, і з того часу не спить. Іноді, коли пʼяний, розмовляє з нею вголос. Вірить, що її дух сидить у нього в погребі й охороняє склад.

⸻

## ІМ’Я:
Жрець Скаліозний #жрець_зевса_скаліозний

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Печери Скаліозного Рогу (див. #печери_скаліозного_рогу #нижні_хребти_околиці)

	### ОРГАНІЗАЦІЯ:
	Колишній жрець Культу Зевса (див. #культ_зевса)

	### РАСА:
	Людина

	### КЛАС:
	Маг-ізгой / носій правди

	### ОПИС:
	Колись — жрець у храмі Зевса. Тепер — вигнанець, що мешкає в печерах і шепоче до каміння. Вважається божевільним, але саме він знає, звідки в Абеда сила, і може вивести гравця на покинуті шляхи до кобольдів. Говорить уривками, часто плутає сни і реальність, але інформація, яку він дає — точна.

	### ХАРАКТЕР:
	Напівбожевільний, поламаний, параноїдальний. Але не небезпечний — якщо не торкатись його "каміння". Може замовкнути на годину, а потім сказати щось, що міняє гру.

	### ДРУЗІ / СОЮЗНИКИ:
	— немає (хіба що скелі та кілька кобольдів, що іноді приносять їжу)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Абед — боїться, що Скаліозний відкриє гравцю правду і тому хоче позбутись. (див. #абед)
	- Культ Зевса — вважають його єретиком і небезпекою (див. #культ_зевса)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Знає шлях до кобольдів — якщо гравець витримає з ним “мовчазну добу”, той покаже вхід (див. #нижні_хребти_кобольди)
	- Розповідає гравцеві, що Абед не заслужив свою владу — і натякає, де шукати докази

	### ТАЄМНИЦЯ:
	Скаліозний ніколи не зрадив Зевса — він побачив справжню суть культу і вирішив мовчати. Тепер чекає на когось, хто зможе закінчити історію замість нього.

⸻

## ІМ’Я:
Віктор Вівальдес #віктор_вівальдес

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Склеп Вівальдеса / Кладовище / Храм Зевса (див. #склеп_віктора_вівальдеса #нижні_хребти_кладовище #храм_зевса)

	### ОРГАНІЗАЦІЯ:
	- Формально — нікому не належить
	- Неформально — “резервна зброя” Абеда (див. #абед #культ_зевса)

	### РАСА:
	Вампір (приховано)

	### КЛАС:
	Воєначальник / герой / нежить

	### ОПИС:
	Офіційно — мертвий герой, що загинув, боронячи кордон із дворфами. Його склеп — святиня. Насправді — живий, вампір, який спить удень і розмовляє з Абедом уночі. Не залишає склеп, але володіє військовими знаннями, ритуальною пам’яттю і досвідом справжнього бою. Його кров все ще “активна” — той, хто її вип’є, може успадкувати силу.

	### ХАРАКТЕР:
	Холодний, зосереджений, мовчазний. Поважає традицію, зневажає паніку. Вірить, що “місто знищиться не через війну, а через слабкість вівчарів”. Йому важливо, хто буде наступним.

	### ДРУЗІ / СОЮЗНИКИ:
	- Абед — утримує Вівальдеса у склепі, веде з ним нічні розмови про майбутнє міста (див. #абед)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Барон — хоче, щоб легенда про Вівальдеса залишалась легендою (див. #барон_духовний)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Має фрагмент карти до підземного тунелю за межами Хребтів до Люльки велетнів. (див. #люлюка_велетнів)
	- Якщо гравець кровно поранений — Вівальдес атакує одразу.
	- Якщо відчує, що місто йде не туди - вийде на поверхню і буде вбивати.

	### ТАЄМНИЦЯ:
	Вівальдес дозволив себе “поховати”, бо бачив крах міста у снах. Він вірить, що зможе врятувати Хребти — але лише як чудовисько, не як герой.

⸻

## ІМ’Я:
Друдовик #друдовик

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Гігантійський Ліс (див. #гігантійський_ліс #нижні_хребти_околиці)

	### ОРГАНІЗАЦІЯ:
	Культ Рівноваги — відлюдницьке об’єднання ельфів, які вірять у воскресіння велетня і “повернення балансу” (див. #культ_рівноваги)

	### РАСА:
	Дворф

	### КЛАС:
	Пророк / ритуаліст / шаман лісу

	### ОПИС:
	Колишній дварф, що залишив своїх і оселився в глушині. Очолює ельфів, які поклоняються природі як вищому порядку. Має доступ до зеленого вогню - він допомагає повертати до життя мертвих ельфів рівноваги. Вірить, що світ виведений із рівноваги владою, містами та магами. Його ціль — воскресити велетня через ритуал у Люлюці, але таємно хоче забрати його силу собі. Не знає про камінь, який поділили Абед і Хесус.

	### ХАРАКТЕР:
	Відлюдькуватий, ритуальний, харизматичний дідуган. Говорить повільно, наче природа сама прокидається. Зневажає грошові стосунки, проти міської моралі.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ельфи з Культу Рівноваги — вірять у його бачення (див. #культ_рівноваги)
	- Природа — вірить, що дерева слухають, а птахи несуть його слова
	- Медовий - за будь-який двіж за природу, хоча і проти культу. (див. #медовий)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Барон — вважає його культ тими, хто підриває стабільність, але не знає особисто його. (див. #барон_духовний)
	- Абед — боїться, що Друдовик знає про справжню силу його каменя (див. #абед)
	- Хесус — боїться, що Друдовик знає про справжню силу його каменя (див. #хесус)
	- Віккан - хоче заволодіти зеленим полум'ям Друдовика. (див. #віккан)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Може відправити гравця в тяжкий квест - принести йому камінь велетня. Якщо гравець впорається - приймає його в культ.
	- Друдовик може попросити гравця прибрати всю банду Лас Бімбас, крім Медового, якщо в цей момент вони вже почали полювання на Друдовика. (див. #банда_лас_бімбас)

	### ТАЄМНИЦЯ:
	Не хоче рівноваги. Хоче стати наступним велетнем — не метафорично, а буквально. Вірить, що після цього він отримає право “підняти” культ.

⸻

## ІМ’Я:
Мін #мін

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Кузня Міна (див. #кузня_міна #нижні_хребти_околиці)

	### РАСА:
	Мінотавр

	### КЛАС:
	Коваль / магічний ремісник

	### ОПИС:
	Агресивний самотній мінотавр, що викував собі житло просто в скелі. Його кузня — одна з небагатьох у Хребтах, що може створити або переплавити магічні речі. Говорить мало, воліє показувати силу ударами. За роботу вимагає не гроші, а особисту фізичну жертву. Кидає речі в вогонь, щоб побачити їх “справжнє єство”.

	### ХАРАКТЕР:
	Запальний, неприязний до чужих, зате чесний. Не терпить лестощів, не жартує, не грається. Якщо щось каже — це або правда, або удар. Вірить у силу справи, а не слів.

	### ДРУЗІ / СОЮЗНИКИ:
	- Камнезмій - іноді Мін його підкормлює. (див. #камнезмій)
	- Сивочолий Криголам - замовляє зброю тільки у Міна і за нього готовий рвати глотки. (див. #сивочолий_криголам)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Торгові гільдії — він відмовляється вступати і платити “кузнечний податок” (див. #нижні_хребти_гільдія_торговців)
	- Асука Сасакі - вкрала у нього ножі підкрадання. (див. #асука_сасакі)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Пропонує гравцеві виклик: “принеси мені метал, якого я не торкав” — і за це викує зброю.
	- Один із його старих молотів було викрадено і використано для злочину. Мін хоче його назад
	- Пропонує гравцеві змусити Асуку повернути те, що вона вкрала. (див. #асука_сасакі)

	### ТАЄМНИЦЯ:
	Мін не вміє чаклувати. Але кузня це робить за нього. Вона… жива. І вона не завжди на його боці.

⸻

## ІМ’Я:
Камнезмій #камнезмій

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Гори Хреберні / стара драконова печера (див. #гори_хреберні #нижні_хребти_околиці)

	### РАСА:
	Змієподібний магічний звір

	### КЛАС:
	Монстр / страж древніх сил

	### ОПИС:
	Сліпий звір довжиною понад 20 метрів, вкритий кам’яними лусками. Його тіло зростається зі стінами печери, а голос — із землею землю. Він чує магію, реагує на спотворення суті, полює на тих, хто приносить з собою “брехливу силу”. Колись оселився на місці вигнаного дракона — можливо, щоб охороняти залишену частину його сили. Дехто вірить, що Камнезмій — це і є останній шматок духу дракона.

	### ХАРАКТЕР:
	Мовчазний, але мислячий. Терпить самотність. Реагує лише на істинну силу або щирий страх.

	### ДРУЗІ / СОЮЗНИКИ:
	- Мін — іноді підгодовує його залишками зі своєї кузні (див. #мін)
	- Кобольди — поклоняються йому як “новому дракону”, хоча той їх проганяє постійно (див. #нижні_хребти_кобольди)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Абед — відчув у ньому щось старше за свою магію й боїться того, що Камнезмій може “прокинутись” повністю (див. #абед)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Якщо гравець приносить магію — може бути атакований. Захищає не матеріальний скарб дракона.

⸻

### ІМ’Я:
Монстри Гігантійського Лісу #гігантські_звіри

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Гігантійський Ліс (див. #гігантійський_ліс #нижні_хребти_околиці)

	### ОРГАНІЗАЦІЯ:
	— Належність умовна: під впливом Культу Рівноваги та місячних ритуалів (див. #культ_рівноваги)

	### РАСА:
	Мутовані звірі (частково колишні люди)

	### КЛАС:
	Природна загроза / нічний хижак / уламки ритуалу

	### ОПИС:
	У Гігантійському Лісі мешкають істоти, які не схожі на звичних звірів. Вовки розміром з корову, лосі з очима внизу живота, слизоптахи, які гудуть, а не кричать. Деякі з них — колишні люди, що не повернулись після ініціації в Люлюці Велетнів. Вони втрачають мову.

	### ХАРАКТЕР:
	Залежить від типу, але всі — агресивні вночі, особливо при місяці. Удень частина ховається. Відчувають магію, кров і страх. Не атакують тих, хто носить “знак рівноваги”.

	### ДРУЗІ / СОЮЗНИКИ:
	- Друдовик і його культ — вони вважають їх “природними захисниками” (див. #друдовик #культ_рівноваги)
	- Медовий - це його найкращі друзі, крім банди. (див. #медовий)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- містяни — для них усе, що не в клітці, — загроза
	- Мін — вбиває, якщо підходять до кузні (див. #мін)
 
	### СЮЖЕТНІ ЗАЦІПКИ:
	 - Друдовик натякає, що гравець може стати одним із них — “але це не обов’язково погано”

	### ТАЄМНИЦЯ:
	Монстри не просто хижаки. Вони — результат “провалу” ритуалу воскресіння велетня, що робив Друдовик раніше.

⸻

## ІМ’Я:
Грифони #нижні_хребти_грифони

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Люлюка Велетнів (див. #люлюка_велетнів #нижні_хребти_околиці)

	### ОРГАНІЗАЦІЯ:
	— Не належать до жодної організації. Але діють як частина механізму обряду, пов’язаного з велетнями. (див. #друдовик #культ_рівноваги)

	### РАСА:
	Грифони (стародавня порода)

	### КЛАС:
	Хранителі / колективна свідомість / вартові ритуалу

	### ОПИС:
	Ці грифони — не просто істоти. Це розумні стражі, які не розмовляють, але мислять разом. Вони охороняють Люлюку Велетнів — ритуальне кам’яне гніздо, де, за легендою, народжуються нові тіла для велетнів. Не нападають без причини, але без ритуального допуску — вбивають одразу. Їхні очі завжди блищать, навіть у повній темряві.

	### ХАРАКТЕР:
	Беземоційні, точні, мовчазні. Їх не можна злякати, не можна підкупити. Вони — частина чогось більшого. І якщо одна істота бачить тебе — бачать усі.

	### ДРУЗІ / СОЮЗНИКИ:
	- Культ Рівноваги — визнають ритуальну силу й не втручаються (див. #культ_рівноваги)
	- Природні сили — зграя з’являється під час рідкісних астрономічних подій

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Ті, хто приходить без ритуального права

	### СЮЖЕТНІ ЗАЦІПКИ:

	- Місцеві селяни скаржаться, що щось крилате поночі крадє худобу. Барон просить розібратись.
	- Один із грифонів поранений, і гравець може врятувати його — або добити.

⸻

## ІМ’Я:
Кобольди з Хреберні #нижні_хребти_кобольди

	### ЛОКАЦІЯ:
	Нижні Хребти. Околиці. Гори Хреберні (див. #гори_хреберні #нижні_хребти_околиці)

	### ОРГАНІЗАЦІЯ:
	— Без офіційної структури. Вірять у “природного господаря” печер — колись дракона, тепер Камнезмія (див. #камнезмій)

	### РАСА:
	Кобольди (магічні рептилоподібні істоти)

	### КЛАС:
	Фанатики / служителі / гірські партизани

	### ОПИС:
	Групи дрібних, але розумних кобольдів, що вижили після вигнання дракона з Хреберні. Вони заховалися в тріщинах гір і створили свій культ навколо Камнезмія, вважаючи його новим божеством, хоч він і проти. Їх релігія примітивна, але вперта. Вони влаштовують ритуали, метають отруєні списики, будують пастки. Вночі співають “пісні крізь зуби”.

	### ХАРАКТЕР:
Фанатично віддані ідеї. Підозріливі до всього, що вище за них на зріст. Зраджують рідко — зазвичай усім кланом одразу.

	### ДРУЗІ / СОЮЗНИКИ:
	- Камнезмій — поклоняються йому як “Тому, хто не має очей” (див. #камнезмій)
	- Скаліозний — деякі приносять йому їжу, бо вважають його “пальцем зевса” (див. #жрець_зевса_скаліозний)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- істоти з Хребтів — сприймають їх як сміття, якого треба позбутись
	- Торговці — бо кобольди крадуть залізо і розбирають вози

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Гравець, якщо і знайде і подружиться, може здобути їхню довіру, якщо пройде через Печеру Голоду і принесе “дар” Камнезмію
	- Один із кобольдів має частину старої карти драконового скарбу

	### ТАЄМНИЦЯ:
	Кобольди знають, що Камнезмій — не бог. Вони шукають нового “справжнього господаря” — і якщо побачать у гравцеві силу, можуть проголосити його… і почати війну від його імені з містом.

⸻

## ІМ’Я:
Кам’яні Очі #кам'яні_очі

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Таверна "Камінь з Почки" (див. #камінь_з_почки #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Люди Духовного — таємна прихильниця політики Барона (див. #люди_духовного)

	### РАСА:
	Дварфійка

	### КЛАС:
	Господарка / маніпуляторка традиціями

	### ОПИС:
	Пихата, стримана дварфійка, що керує найпопулярнішою туристичною таверною в Хребтах. Для гостей — це "справжній дух старих дворфів", а насправді — добре організоване шоу. Кам’яні Очі тримає все під контролем: хто їсть, хто п’є, хто слухає які плітки. Таємно підтримує політику Барона проти храмів, сподіваючись отримати більше влади, якщо місто позбудеться культистів.

	### ХАРАКТЕР:
	Стримана, владна, глибоко прагматична. Вона ніколи не свариться вголос — вона “змінює реальність” навколо себе дрібними рішеннями. Вірить у золото більше, ніж у богів.

	### ДРУЗІ / СОЮЗНИКИ:
	- Барон Домінік Духовний — ділова підтримка й потенційний захист (див. #барон_духовний)
	- Крістоф — приходить шукати нових хлопців на ніч (див. #крістоф)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Асука Сасакі — підозрює її в спробі шпигувати через “туристичні перевдягання” (див. #асука_сасакі)
	- Хесус — вважає ці дварфійські традиції просто поганю вистовою, яку ніхто більше не має бачити. (див. #хесус)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Може запропонувати гравцю вигідну угоду: шпигувати за клієнтами в обмін на безкоштовний притулок і доступ до “списку неблагонадійних”
	- Під час великої бійки в місті пропонує захист, але за це вимагає обіцянку допомогти Барону
	- Має компромат на одного з лідерів храмів - Хесуса. Пропонує обмін: інформація за послугу (див. #культ_тора)

	### ТАЄМНИЦЯ:
	Колись працювала шантажисткою для дворфської мафії в іншому місті. Втекла після провалу угоди, але вважає, що її минуле все ще може наздогнати її через приїжджих дворфів.

⸻

## ІМ’Я:
Ололоф #ололоф

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Крамниця “Кроляча Нора” (див. #кроляча_нора #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Формально Синій Ворон, але думає створити гільдію торговців (див. #нижні_хребти_гільдія_торговців #нижні_хребти_синій_ворон)

	### РАСА:
	Дворф

	### КЛАС:
	Торгівець / підпільний логіст

	### ОПИС:
	Кримезний і говірливий дворф, який тримає крамницю "Кроляча Нора". Співпрацює з Синім Вороном, але мріє створити незалежну торгову гільдію в місті, щоб підняти вплив ремісників і торговців. Під підлогою його крамниці — схованка Синього Ворона. Ололоф уміє балансувати між владою, контрабандою і майбутніми планами.

	### ХАРАКТЕР:
	Легкий, але підозрілий, принциповий. Ненавидить фанатизм і релігійний диктат. Вірить у свободу торгівлі як у єдиний справжній закон. Якщо платить — значить вартує.

	### ДРУЗІ / СОЮЗНИКИ:
	- Фенн — темний ельф, з яким має комерційні зв'язки (див. #фенн #нижні_хребти_синій_ворон)
	- Люля і Буля — підтримують ідею створення гільдії (див. #люля #буля #нижні_хребти_гільдія_торговців)
	- Озі Теліга — власник книгарні, потенційний союзник у гільдії (див. #озі_теліга #нижні_хребти_гільдія_торговців)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Абед — потенційна загроза через нетерпимість до незалежних (див. #абед #культ_зевса)

	### СЮЖЕТНІ ЗАЦІПКИ:
